title,price;
"Rogue Legacy 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp349,000""";
"Inscryption (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp167,400""";
"Deus Ex: Mankind Divided (Game),""Rp102,000""";
"Killing Floor 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp85,800""";
"Lonely Mountains: Downhill (Simplified Chinese, English, Korean, Japanese),""Rp279,000""";
"Ratchet & Clank: Rift Apart (Simplified Chinese, English, Korean, Traditional Chinese),""Rp1,029,000""";
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese),""Rp579,000""";
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese),""Rp729,000""";
"Hundred Days - Winemaking Simulator (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp429,000""";
"Carto (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp279,000""";
"Dodgeball Academia (Simplified Chinese, English, Japanese),""Rp349,000""";
"The Wild at Heart (Simplified Chinese, English, Korean, Japanese),""Rp349,000""";
"Thief (Game),""Rp52,350""";
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese),""Rp318,450""";
"HUMANITY (English, Japanese),""Rp429,000""";
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp749,000""";
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp112,350""";
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese),""Rp729,000""";
"ELEX II PS4 & PS5 (Simplified Chinese, English, Japanese),""Rp373,050""";
"Conan Exiles (Simplified Chinese, English, Korean),""Rp699,000""";
"Kena: Bridge of Spirits PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp579,000""";
"Dishonored 2 (English/Chinese Ver.),""Rp85,800""";
"TOMB RAIDER DEFINITIVE EDITION full game (English/Chinese/Korean Ver.),""Rp74,750""";
"DOOM Eternal Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese),""Rp532,000""";
"Riders Republic PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp589,000""";
"Wolfenstein® II: The New Colossus™ (English/Chinese Ver.),""Rp532,000""";
"Tchia (PS4 & PS5) (Simplified Chinese, English, Korean, Japanese),""Rp278,850""";
"The Evil Within 2 (English/Chinese/Korean Ver.),""Rp106,400""";
"Dishonored®: Death of the Outsider™ (English/Chinese Ver.),""Rp370,000""";
"Wolfenstein: Youngblood (English/Chinese/Korean Ver.),""Rp83,700""";
"Thymesia (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp287,430""";
"Rune Factory 4 Special (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp429,000""";
"STORY OF SEASONS: Friends of Mineral Town (Simplified Chinese, Korean, Traditional Chinese),""Rp321,000""";
"STORY OF SEASONS: Pioneers of Olive Town (Simplified Chinese, Korean, Traditional Chinese),""Rp320,000""";
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp429,000""";
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp429,000""";
"Ghostwire: Tokyo (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp829,000""";
"Tom Clancy’s Rainbow Six Extraction PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese),""Rp515,000""";
"The Evil Within (Chinese Ver.),""Rp79,750""";
"Wolfenstein: The Old Blood (English),""Rp64,250""";
"Bassmaster® Fishing PS4™ and PS5™ (Simplified Chinese, English, Japanese),""Rp579,000""";
"Life is Strange: True Colors PS4 & PS5 (Simplified Chinese, English, Japanese),""Rp351,600""";
"The Quarry for PS4™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp859,000""";
"The Quarry for PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp999,000""";
"Outer Wilds (Simplified Chinese, English, Korean, Japanese),""Rp209,400""";
"SCARLET NEXUS PS4 & PS5 (English, Japanese),""Rp187,250""";
"Borderlands 3 PS4™ &  PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp890,000""";
"Sackboy: A Big Adventure PS4 & PS5 (English, Korean, Traditional Chinese),""Rp879,000""";
"Life is Strange 2 Complete Season (English),""Rp139,500""";
"Back 4 Blood: Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp809,000""";
"DRAGON BALL FighterZ (English),""Rp136,000""";
"Devil May Cry 5 Special Edition (English, Japanese),""Rp221,200""";
"Immortals Fenyx Rising - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp749,000""";
"Untitled Goose Game (Simplified Chinese, English, Korean, Japanese),""Rp279,000""";
"FINAL FANTASY TYPE-0 HD (Chinese/Korean Ver.),""Rp339,000""";
"NEO: The World Ends with You (English, Japanese),""Rp439,500""";
Devil May Cry 5 (English, Japanese),Included;
"Life is Strange Complete Season (English),""Rp163,000""";
"LEGO® Batman™ 3: Beyond Gotham - PlayStation®Hits (English Ver.),""Rp279,000""";
"Far Cry 5 (Simplified Chinese, English, Korean, Traditional Chinese),""Rp659,000""";
"TEKKEN 7 (English),""Rp110,000""";
"Far Cry Primal - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean, Traditional Chinese),""Rp279,000""";
"EARTH DEFENSE FORCE 5 (English/Chinese/Korean Ver.),""Rp524,000""";
"Far Cry New Dawn - Digital Standard Edition (Simplified Chinese, English, Korean),""Rp519,000""";
"Street Fighter V: Champion Edition (Game),""Rp144,500""";
"Haven (Simplified Chinese, English, Japanese),""Rp349,000""";
"RAGE 2 (English/Chinese/Korean Ver.),""Rp144,750""";
"CODE VEIN (English),""Rp749,000""";
"Journey To The Savage Planet: Employee Of The Month (Simplified Chinese, English, Korean, Traditional Chinese),""Rp422,000""";
Middle-earth™: Shadow of Mordor™ (English/Chinese/Korean Ver.),Included;
"MEGA DIMENSION NEPTUNE VII (Japanese Ver.),""Rp638,000""";
"Ryu Ga Gotoku 7: Hikari To Yami No Yukue (Chinese/Japanese Ver.),""Rp271,320""";
"Ryu Ga Gotoku 6 Inochino Uta (Chinese Ver.),""Rp351,120""";
Tom Clancy's Rainbow Six Siege (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),Included;
"LittleBigPlanet™ 3 PlayStation®Hits (English/Chinese/Korean Ver.),""Rp279,000""";
"I Am Setsuna (English Ver.),""Rp195,200""";
"JETT: The Far Shore + Given Time (English, Japanese),""Rp429,000""";
"KINGDOM HEARTS HD -1.5+2.5 ReMIX- (English Ver.),""Rp569,000""";
"KINGDOM HEARTS HD 2.8 FINAL CHAPTER PROLOGUE (English),""Rp699,000""";
"KINGDOM HEARTS III (Chinese/Korean Ver.),""Rp724,000""";
"Erica (English),""Rp70,000""";
"DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition (Simplified Chinese, Korean, Traditional Chinese),""Rp579,000""";
"Tom Clancy's The Division® 2 (English/Chinese/Korean/Japanese Ver.),""Rp103,500""";
"Assassin's Creed Odyssey - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese),""Rp149,000""";
"DRAGON QUEST BUILDERS 2 (Chinese/Korean Ver.),""Rp499,000""";
"DRAGONQUEST HEROES II Futago no Ou to Yogen no Owari (Chinese/Korean Ver.),""Rp299,000""";
"The Elder Scrolls V: Skyrim Special Edition - PS5 & PS4 (Simplified Chinese, English, Traditional Chinese),""Rp532,000""";
"JUDGE EYES: wills of death New Price Edition (Chinese Ver.),""Rp239,000""";
"Adventure Time Pirates of the Enchiridion (English),""Rp665,000""";
"Spiritfarer®: Farewell Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp429,000""";
"Stray (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp321,750""";
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese),""Rp119,600""";
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese),""Rp119,600""";
"ODDWORLD: NEW 'N' TASTY full game (English Ver.),""Rp364,000""";
"What Remains of Edith Finch (Simplified Chinese, English, Korean, Japanese),""Rp69,750""";
"Mortal Shell (Simplified Chinese, English, Korean, Japanese),""Rp429,000""";
"Yakuza: Like a Dragon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp271,660""";
"The Pedestrian (English),""Rp279,000""";
"INSIDE (English/Chinese/Korean Ver.),""Rp199,000""";
"Ryu Ga Gotoku KIWAMI (Chinese Ver.),""Rp114,400""";
"Ryu Ga Gotoku KIWAMI2 (Chinese Ver.),""Rp307,560""";
"The Medium (Simplified Chinese, English),""Rp699,000""";
"DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Chinese Ver.),""Rp299,000""";
"Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro (Chinese/Korean Ver.),""Rp339,000""";
"DRAGON BALL XENOVERSE 2 (English),""Rp279,000""";
"FINAL FANTASY VII REMAKE INTERGRADE (Chinese/Korean Version) (Simplified Chinese, Korean, Traditional Chinese),""Rp579,000""";
Ghost of Tsushima DIRECTOR’S CUT (PlayStation Plus) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese),Included;
"Dead by Daylight PS4™ & PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp214,500""";
"Chorus (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp579,000""";
"EARTH DEFENSE FORCE: IRON RAIN (English/Chinese/Korean/Japanese Ver.),""Rp724,000""";
"The Gardens Between (English, Korean, Japanese, Traditional Chinese),""Rp279,000""";
"Ghost Recon Breakpoint - Standard Edition (English/Chinese/Korean/Japanese Ver.),""Rp749,000""";
"OMNO (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp199,000""";
"Ghost Recon Wildlands - Digital Standard Edition (Simplified Chinese, English, Korean),""Rp91,000""";
"Bugsnax (Simplified Chinese, English, Korean, Japanese),""Rp349,000""";
"My Time at Portia (Simplified Chinese, English, Japanese, Traditional Chinese),""Rp111,750""";
"Returnal™ (Simplified Chinese, English, Korean, Traditional Chinese),""Rp1,029,000""";
"Demon's Souls (Simplified Chinese, English, Korean, Thai, Traditional Chinese),""Rp432,180""";
"Assassin's Creed Chronicles - China (English, Korean, Traditional Chinese),""Rp41,600""";
"Assassin's Creed Chronicles - India (Simplified Chinese, English, Korean, Traditional Chinese),""Rp41,600""";
"Assassin's Creed Chronicles - Russia (Simplified Chinese, English, Korean, Traditional Chinese),""Rp41,600""";
"Assassin's Creed® III Remastered - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),""Rp114,750""";
"DEATHLOOP (Simplified Chinese, English, Korean, Traditional Chinese),""Rp829,000""";
"Assassin's Creed Unity - Digital Standard Edition (English, Korean, Traditional Chinese),""Rp78,900""";
"Hohokum™ full game (English Ver.),""Rp170,000""";
"The Crew 2 - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese),""Rp570,000""";
"Control: Ultimate Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp579,000""";
"Hollow Knight (Simplified Chinese, English, Korean, Japanese),""Rp208,000""";
"Maneater PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp579,000""";
"Horizon Zero Dawn™: Complete Edition PlayStation®Hits (Simplified Chinese, English, Korean),""Rp309,000""";
UNCHARTED 4: A Thief's End™ PlayStation®Hits (Game),Included;
UNCHARTED: The Lost Legacy™ (English/Chinese/Korean Ver.),Included;
"Saints Row IV: Re-Elected (English),""Rp42,600""";
"Saints Row: Gat out of Hell (English),""Rp213,000""";
"Assassin's Creed Rogue Remastered - Digital Standard Edition (English, Korean, Traditional Chinese),""Rp107,700""";
"Assassin's Creed The Ezio Collection (Simplified Chinese, English, Korean, Traditional Chinese),""Rp146,700""";
"Human: Fall Flat PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp195,000""";
"Monopoly Plus (English),""Rp50,700""";
"Rabbids®Invasion: The interactive TV Show full game (English),""Rp396,000""";
"Rayman® Legends - Digital Standard Edition PlayStation®Hits (English),""Rp279,000""";
"Scott Pilgrim vs. The World™: The Game – Complete Edition (English),""Rp49,170""";
"The Dark Pictures Anthology: Man of Medan PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese),""Rp98,670""";
"Ys VIII -Lacrimosa of DANA- Standard Edition (Chinese Ver.),""Rp679,000""";
"FINAL FANTASY X/X-2 HD Remaster (Chinese/Korean Ver.),""Rp339,000""";
"SOULCALIBUR VI (English),""Rp102,000""";
"Mortal Shell: Enhanced Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp429,000""";
"STEEP - Digital Standard Edition (Simplified Chinese, English, Traditional Chinese),""Rp229,000""";
"Everybody's Golf (English, Korean, Traditional Chinese),""Rp214,500""";
"Shadow of the Colossus™ (English/Chinese/Korean Ver.),""Rp369,000""";
"FINAL FANTASY XII THE ZODIAC AGE (Chinese/Korean Ver.),""Rp617,000""";
"GRAVITY RUSH 2  (Standard Edition) (English/Chinese/Korean Ver.),""Rp349,500""";
"Darksiders Genesis (Game),""Rp579,000""";
"Warhammer: Chaosbane Slayer Edition (Simplified Chinese, English, Korean, Traditional Chinese),""Rp829,000""";
"Bloodstained: Ritual of the Night (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp550,000""";
"WATCH_DOGS™ - Digital Standard Edition PlayStation®Hits (English),""Rp279,000""";
"Terraria – PlayStation®4 Edition (English, Korean),""Rp272,000""";
"Watch Dogs 2 - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean),""Rp41,850""";
"For Honor - Digital Standard Edition (Simplified Chinese, English, Korean),""Rp345,000""";
"Far Cry 4 - Digital Standard Edition PlayStation®Hits (English, Korean),""Rp279,000""";
"Friday the 13th the Game (English/Chinese Ver.),""Rp69,000""";
"Blasphemous (Simplified Chinese, English, Korean, Japanese),""Rp107,100""";
"Far Cry®3 Classic Edition - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese),""Rp89,750""";
"God of War (English, Korean, Traditional Chinese),""Rp309,000""";
"MONOPOLY® Madness (Simplified Chinese, English, Korean, Japanese, Traditional Chinese),""Rp399,000""";
"UNO (Simplified Chinese, English, Traditional Chinese),""Rp138,000""";
"Desperados III (Simplified Chinese, English, Korean),""Rp579,000""";
"My Friend Pedro (English),""Rp279,000""";
